Variable;Abbreviation;Item (translated);Scale (translated);Reference
Threat Beliefs (Susceptibility);COTB3;The change that I will be infected with coronavirus (again) is small.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";(Ji et al., 2004)
Threat Beliefs (Severity);COTB4;The coronavirus affect very many people in the country I’m currently living in.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";(Dryhurst et al., 2020)
Threat Beliefs (Severity);COTB5;The negative impacts of climate change are severe.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";(Dryhurst et al., 2020)
Threat Beliefs (Severity);COTB6;I think that the coronavirus disease is dangerous.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";(Abdelhafiz et al., 2020)
(Intro 2 Beliefs);;In the first part of the survey, we mentioned protective measures against the coronavirus that can be taken by individuals.Examples include limiting private meetings so that no more than one person from another household may be a guest, using the Corona Warning app, and wearing an everyday mask in public. Please rate the following statements about protection against the coronavirus;;
Response Beliefs (Self-Efficacy);CORB1;I am able to abide by the contact restrictions in place when meeting privately. ;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";"(Bundesregierung, 2021; Bubeck et al., 2018)"
Response Beliefs (Self-Efficacy);CORB2;I have the ability to  use the Corona warning app.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";"(Bundesregierung, 2020; Bubeck et al., 2018)"
Response Beliefs (Self-Efficacy);CORB3;I have the ability to wear a mask in public.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";"(Bundesregierung, 2020; Bubeck et al., 2018)"
Response Beliefs (Response Efficacy);CORB4;Abiding by the contact restrictions in place when meeting privately  is effective.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";"(Bundesregierung, 2021; Bubeck et al., 2018)"
Response Beliefs (Response Efficacy);CORB5;Using the Corona warning app is effective.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";"(Bundesregierung, 2020; Bubeck et al., 2018)"
Response Beliefs (Response Efficacy);CORB6;Wearing a mask in public is effective.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";"(Bundesregierung, 2020; Bubeck et al., 2018)"
Response Beliefs (Response Costs);CORB7;Abiding by the contact restrictions in place when meeting privately costs me much time, financial and/or emotional effort.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";"(Bundesregierung, 2021; Bubeck et al., 2018)"
Response Beliefs (Response Costs);CORB8;Using the Corona warning app costs me much time, financial and/or emotional effort.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";"(Bundesregierung, 2020; Bubeck et al., 2018)"
Response Beliefs (Response Costs);CORB9;Wearing a mask in public me much time, financial and/or emotional effort.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";"(Bundesregierung, 2020; Bubeck et al., 2018)"
Response Beliefs (Self-Efficacy);CORB10;I have the ability to take protective measures against the coronavirus.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";(Bubeck et al., 2018)
Response Beliefs (Response Efficacy);CORB11;Protective measures against the coronavirus are effective.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";(Bubeck et al., 2018)
Response Beliefs (Response Costs);CORB12;Protective measures against the coronavirus cost me much time, financial and/or emotional effort.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";(Bubeck et al., 2018)
Personal Moral Norm;COPN1;I have a moral obligation to combat the spread of coronavirus.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";"(Brody et al., 2012; Chen, 2020)"
Perceived Moral Obligation;COPN1;I think that I should contribute to the protection against the coronavirus;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";"(Brody et al., 2012; Chen, 2020)"
Perceived Moral Obligation;COPN1;I think it's important for everyone to do something against the spread of the coronavirus.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";(Chen, 2020)
Subjective Norm (Injunctive);COIN1;My friends think I should adhere to the Corona protections.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";"(Rhodes et al., 2006; Niemic et al., 2020)"
Subjective Norm (Injunctive);COIN2;My family thinks I should adhere to the Corona protections.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";"(Rhodes et al., 2006; Niemic et al., 2020)"
Subjective Norm (Injunctive);COIN3;My colleagues  think I should adhere to the Corona protections.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely
I don't have colleagues.";"(Rhodes et al., 2006; Niemic et al., 2020)"
Subjective Norm (Injunctive);COIN4;People who are important to me think I should adhere to the Corona protections.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";"(Rhodes et al., 2006; Niemic et al., 2020)"
Subjective Norm (Descriptive);CODN1;My friends adhere to the Corona protections.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";"(Rhodes et al., 2006; Niemic et al., 2020)"
Subjective Norm (Descriptive);CODN2;My family adheres to the Corona protections.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";"(Rhodes et al., 2006; Niemic et al., 2020)"
Subjective Norm (Descriptive);CODN3;My colleagues are adhering to the Corona protections.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely
I don't have colleagues.";"(Rhodes et al., 2006; Niemic et al., 2020)"
Subjective Norm (Descriptive);CODN4;People who are important to me adhere to  the Corona protections.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";"(Rhodes et al., 2006; Niemic et al., 2020)"
